invoice_no,description,qty,unit_thb,line_total_thb
TCT-TH-2026-0206-001,02 Mar 2026 - Ayutthaya – UNESCO Full Day Tour,1,1540,1540
TCT-TH-2026-0206-001,03 Mar 2026 - Khao Yai National Park - Full Day Tour,1,2880,2880
TCT-TH-2026-0206-001,04 Mar 2026 - Kanchanaburi: River Kwai + Erawan Falls - Full Day Tour,1,3200,3200
TCT-TH-2026-HH-002,Hua Hin Temple Tour – Cultural Day Trip (16 Feb 2026),1,8900,8900
TCT-TH-2026-HH-002,Hua Hin – Bangkok Day Trip (19 Feb 2026),1,14000,14000
TCT-TH-2026-HH-002,Kui Buri National Park – Elephant Watching (22 Feb 2026),1,8900,8900
TCT-TH-2025-1218-001,Evening Ayutthaya UNESCO Temples Tour privat,1,6500,6500
